'NC_001573-SRD-10-.txt.csv', 996
'NC_001573-SRD-11-.txt.csv', 332
'NC_001573-SRD-12-.txt.csv', 144
'NC_001573-SRD-13-.txt.csv', 90
'NC_001573-SRD-14-.txt.csv', 70
'NC_001573-SRD-15-.txt.csv', 66
'NC_001573-SRD-16-.txt.csv', 62
'NC_001573-SRD-17-.txt.csv', 58
'NC_001573-SRD-18-.txt.csv', 56
'NC_001573-SRD-19-.txt.csv', 54
'NC_001573-SRD-20-.txt.csv', 52
'NC_001573-SRD-21-.txt.csv', 50
'NC_001573-SRD-22-.txt.csv', 48
'NC_001573-SRD-23-.txt.csv', 46
'NC_001573-SRD-24-.txt.csv', 44
'NC_001573-SRD-25-.txt.csv', 42
'NC_001573-SRD-26-.txt.csv', 40
'NC_001573-SRD-27-.txt.csv', 38
'NC_001573-SRD-28-.txt.csv', 36
'NC_001573-SRD-29-.txt.csv', 34
'NC_001573-SRD-30-.txt.csv', 32
'NC_001573-SRD-5-.txt.csv', 17382
'NC_001573-SRD-6-.txt.csv', 16782
'NC_001573-SRD-7-.txt.csv', 13314
'NC_001573-SRD-8-.txt.csv', 7345
'NC_001573-SRD-9-.txt.csv', 2960
'NC_002471-SRD-10-.txt.csv', 1349
'NC_002471-SRD-11-.txt.csv', 873
'NC_002471-SRD-12-.txt.csv', 716
'NC_002471-SRD-13-.txt.csv', 689
'NC_002471-SRD-14-.txt.csv', 676
'NC_002471-SRD-15-.txt.csv', 671
'NC_002471-SRD-16-.txt.csv', 668
'NC_002471-SRD-17-.txt.csv', 665
'NC_002471-SRD-18-.txt.csv', 662
'NC_002471-SRD-19-.txt.csv', 659
'NC_002471-SRD-20-.txt.csv', 657
'NC_002471-SRD-21-.txt.csv', 655
'NC_002471-SRD-22-.txt.csv', 653
'NC_002471-SRD-23-.txt.csv', 651
'NC_002471-SRD-24-.txt.csv', 649
'NC_002471-SRD-25-.txt.csv', 647
'NC_002471-SRD-26-.txt.csv', 645
'NC_002471-SRD-27-.txt.csv', 643
'NC_002471-SRD-28-.txt.csv', 641
'NC_002471-SRD-29-.txt.csv', 639
'NC_002471-SRD-30-.txt.csv', 637
'NC_002471-SRD-5-.txt.csv', 16853
'NC_002471-SRD-6-.txt.csv', 16319
'NC_002471-SRD-7-.txt.csv', 12385
'NC_002471-SRD-8-.txt.csv', 6501
'NC_002471-SRD-9-.txt.csv', 2805
'NC_002756-SRD-10-.txt.csv', 924
'NC_002756-SRD-11-.txt.csv', 377
'NC_002756-SRD-12-.txt.csv', 214
'NC_002756-SRD-13-.txt.csv', 168
'NC_002756-SRD-14-.txt.csv', 150
'NC_002756-SRD-15-.txt.csv', 144
'NC_002756-SRD-16-.txt.csv', 140
'NC_002756-SRD-17-.txt.csv', 136
'NC_002756-SRD-18-.txt.csv', 132
'NC_002756-SRD-19-.txt.csv', 128
'NC_002756-SRD-20-.txt.csv', 124
'NC_002756-SRD-21-.txt.csv', 120
'NC_002756-SRD-22-.txt.csv', 116
'NC_002756-SRD-23-.txt.csv', 112
'NC_002756-SRD-24-.txt.csv', 108
'NC_002756-SRD-25-.txt.csv', 104
'NC_002756-SRD-26-.txt.csv', 100
'NC_002756-SRD-27-.txt.csv', 96
'NC_002756-SRD-28-.txt.csv', 92
'NC_002756-SRD-29-.txt.csv', 88
'NC_002756-SRD-30-.txt.csv', 84
'NC_002756-SRD-5-.txt.csv', 16472
'NC_002756-SRD-6-.txt.csv', 15871
'NC_002756-SRD-7-.txt.csv', 12216
'NC_002756-SRD-8-.txt.csv', 6451
'NC_002756-SRD-9-.txt.csv', 2574
'NC_002805-SRD-10-.txt.csv', 1562
'NC_002805-SRD-11-.txt.csv', 1022
'NC_002805-SRD-12-.txt.csv', 864
'NC_002805-SRD-13-.txt.csv', 804
'NC_002805-SRD-14-.txt.csv', 776
'NC_002805-SRD-15-.txt.csv', 761
'NC_002805-SRD-16-.txt.csv', 748
'NC_002805-SRD-17-.txt.csv', 439
'NC_002805-SRD-18-.txt.csv', 407
'NC_002805-SRD-19-.txt.csv', 400
'NC_002805-SRD-20-.txt.csv', 393
'NC_002805-SRD-21-.txt.csv', 387
'NC_002805-SRD-22-.txt.csv', 380
'NC_002805-SRD-23-.txt.csv', 348
'NC_002805-SRD-24-.txt.csv', 342
'NC_002805-SRD-25-.txt.csv', 338
'NC_002805-SRD-26-.txt.csv', 331
'NC_002805-SRD-27-.txt.csv', 324
'NC_002805-SRD-28-.txt.csv', 318
'NC_002805-SRD-29-.txt.csv', 312
'NC_002805-SRD-30-.txt.csv', 306
'NC_002805-SRD-5-.txt.csv', 17642
'NC_002805-SRD-6-.txt.csv', 17098
'NC_002805-SRD-7-.txt.csv', 13387
'NC_002805-SRD-8-.txt.csv', 7156
'NC_002805-SRD-9-.txt.csv', 3224
'NC_004021-SRD-10-.txt.csv', 1643
'NC_004021-SRD-11-.txt.csv', 680
'NC_004021-SRD-12-.txt.csv', 301
'NC_004021-SRD-13-.txt.csv', 186
'NC_004021-SRD-14-.txt.csv', 138
'NC_004021-SRD-15-.txt.csv', 108
'NC_004021-SRD-16-.txt.csv', 92
'NC_004021-SRD-17-.txt.csv', 84
'NC_004021-SRD-18-.txt.csv', 60
'NC_004021-SRD-19-.txt.csv', 58
'NC_004021-SRD-20-.txt.csv', 56
'NC_004021-SRD-21-.txt.csv', 54
'NC_004021-SRD-22-.txt.csv', 52
'NC_004021-SRD-23-.txt.csv', 50
'NC_004021-SRD-24-.txt.csv', 48
'NC_004021-SRD-25-.txt.csv', 46
'NC_004021-SRD-26-.txt.csv', 44
'NC_004021-SRD-27-.txt.csv', 42
'NC_004021-SRD-28-.txt.csv', 40
'NC_004021-SRD-29-.txt.csv', 38
'NC_004021-SRD-30-.txt.csv', 36
'NC_004021-SRD-5-.txt.csv', 16141
'NC_004021-SRD-6-.txt.csv', 15503
'NC_004021-SRD-7-.txt.csv', 12486
'NC_004021-SRD-8-.txt.csv', 7801
'NC_004021-SRD-9-.txt.csv', 3868
'NC_004926-SRD-10-.txt.csv', 1249
'NC_004926-SRD-11-.txt.csv', 555
